"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"8","CHI",493,438,54,71,261,402,1031,742,745,567,569,415,39,28,399,269,263,917.608333333333,15,"20142015",58.15,67.41,48.52,289,115.93,56.78,48.71,37.07,178,85.79,57.83,37.21,27.14,154,58.21,2.55,1.83,11,60.27,100.11,52.95,76.38,55.19,6.85,5.23,93.25,176,152,286,175
"15","MIN",379,402,47,56,193,284,794,604,617,435,450,299,36,29,278,260,243,784.733333333333,13,"20142015",56.8,60.71,46.18,190,106.89,58.65,47.18,33.26,182,80.43,60.08,34.41,22.86,151,55.38,2.75,2.22,7,53.36,98.3,48.53,72.93,56.68,8,5.83,90.3,167,136,177,169
"3","BOS",500,422,57,50,310,365,876,740,640,548,461,409,42,35,333,276,313,909.5,15,"20142015",54.21,57.79,48.82,136,106.61,53.87,42.22,36.15,92,78.37,52.99,30.41,26.98,52,54.55,2.77,2.31,7,51.55,100.55,54.23,72.03,52.63,9.11,6.56,91.44,179,139,236,192
"25","STL",468,426,62,60,280,307,800,706,603,526,434,372,33,27,302,260,332,856.158333333333,14,"20142015",53.12,56.06,49.48,94,105.54,53.41,42.26,36.86,77,79.12,53.85,30.41,26.07,62,55,2.31,1.89,6,47.63,100.35,52.35,71.97,54.25,7.6,5.47,92.74,169,154,197,180
"11","DET",468,431,65,72,288,328,810,727,599,544,441,401,40,34,328,300,271,926.625,15,"20142015",52.7,52.45,47.07,83,99.52,52.41,38.79,35.22,55,74.01,52.38,28.56,25.97,40,54.05,2.59,2.2,6,54.76,100.59,52.06,73.62,54.44,9.07,6.68,91.52,158,143,211,183
"30","WSH",422,430,60,61,373,329,807,726,595,512,432,370,44,40,297,300,255,863.758333333333,14,"20142015",52.64,56.06,50.43,81,106.49,53.75,41.33,35.57,83,76.9,53.87,30.01,25.7,62,52.38,3.06,2.78,4,53.8,99.37,49.53,72.61,53.53,10.19,7.39,89.19,163,142,212,214
"24","S.J",544,548,75,82,320,386,999,935,708,705,514,514,48,44,353,330,409,979.533333333333,16,"20142015",51.65,61.19,57.27,64,118.46,50.11,43.37,43.18,3,86.55,50,31.48,31.48,0,52.17,2.94,2.7,4,46.33,100.78,49.82,72.6,51.45,9.34,6.78,91.44,194,191,291,230
"12","EDM",480,466,44,56,322,370,861,798,635,605,447,445,37,50,333,325,287,903.1,15,"20142015",51.9,57.2,53.02,63,110.22,51.21,42.19,40.19,30,82.38,50.11,29.7,29.56,2,42.53,2.46,3.32,-13,53.71,97.04,50.74,70.39,51.92,8.28,5.83,88.76,188,160,226,193
"18","NSH",411,462,46,50,272,266,819,764,589,554,406,402,34,27,295,265,313,851.958333333333,14,"20142015",51.74,57.68,53.81,55,111.48,51.53,41.48,39.02,35,80.5,50.25,28.59,28.31,4,55.74,2.39,1.9,7,48.52,101.66,47.08,68.93,49.57,8.37,5.77,93.28,183,152,230,210
"19","NYI",410,457,59,63,431,338,837,786,649,576,443,409,40,42,324,284,259,852.058333333333,14,"20142015",51.57,58.94,55.35,51,114.29,52.98,45.7,40.56,73,86.26,52,31.2,28.8,34,48.78,2.82,2.96,-2,55.57,98.76,47.29,68.26,52.93,9.03,6.16,89.73,206,167,188,210
"23","PIT",395,377,78,80,343,353,706,666,548,494,410,370,54,27,248,273,251,788.85,13,"20142015",51.46,53.7,50.66,40,104.35,52.59,41.68,37.57,54,79.25,52.56,31.18,28.14,40,66.67,4.11,2.05,27,49.7,105.87,51.17,74.82,58.07,13.17,9.85,92.7,138,124,158,172
"26","T.B",444,433,64,70,297,307,791,759,611,558,452,410,57,39,290,316,271,913.891666666667,15,"20142015",51.03,51.93,49.83,32,101.76,52.27,40.11,36.63,53,76.75,52.44,29.68,26.92,42,59.38,3.74,2.56,18,51.69,103.1,50.63,73.98,57.14,12.61,9.33,90.49,159,148,180,201
"20","NYR",422,453,62,51,330,316,785,772,582,582,438,416,38,44,301,291,283,859.316666666667,14,"20142015",50.42,54.81,53.9,13,108.71,50,40.64,40.64,0,81.27,51.29,30.58,29.05,22,46.34,2.65,3.07,-6,51.54,98.1,48.23,75.26,55.8,8.68,6.53,89.42,144,166,203,190
"1","ANA",534,480,77,84,462,429,905,892,693,654,486,458,39,30,362,313,339,979.35,16,"20142015",50.36,55.44,54.65,13,110.09,51.45,42.46,40.07,39,82.52,51.48,29.77,28.06,28,56.52,2.39,1.84,9,51.64,101.47,52.66,70.13,53.7,8.02,5.63,93.45,207,196,212,238
"14","L.A",502,454,78,67,452,387,857,845,660,667,449,481,36,29,310,305,341,916.983333333333,15,"20142015",50.35,56.08,55.29,12,111.37,49.74,43.19,43.64,-7,86.83,48.28,29.38,31.47,-32,55.38,2.36,1.9,7,47.62,101.99,52.51,68.03,52.39,8.02,5.45,93.97,211,186,197,178
"29","WPG",445,467,88,77,404,339,846,840,622,614,456,430,28,30,298,299,315,924.3,15,"20142015",50.18,54.92,54.53,6,109.44,50.32,40.38,39.86,8,80.23,51.47,29.6,27.91,26,48.28,1.82,1.95,-2,48.61,99.16,48.79,73.31,53.9,6.14,4.5,93.02,166,184,224,226
"5","CAR",431,381,55,53,283,359,709,703,518,515,367,368,31,41,295,249,268,798.866666666667,13,"20142015",50.21,53.25,52.8,6,106.05,50.15,38.91,38.68,3,77.58,49.93,27.56,27.64,-1,43.06,2.33,3.08,-10,52.4,97.31,53.08,70.85,51.76,8.45,5.98,88.86,151,147,191,188
"13","FLA",370,390,66,56,320,330,617,622,469,485,337,357,20,29,234,245,281,734.183333333333,12,"20142015",49.8,50.42,50.83,-5,101.26,49.16,38.33,39.64,-16,77.96,48.56,27.54,29.18,-20,40.82,1.63,2.37,-9,45.44,97.81,48.68,71.86,54.62,5.93,4.26,91.88,132,128,148,137
"6","CBJ",453,477,69,74,386,312,755,766,572,599,417,446,36,51,322,296,312,843.975,14,"20142015",49.64,53.67,54.46,-11,108.13,48.85,40.66,42.58,-27,83.25,48.32,29.65,31.71,-29,41.38,2.56,3.63,-15,50.79,97.2,48.71,72.9,55.23,8.63,6.29,88.57,155,153,183,167
"2","ARI",472,408,65,73,381,362,799,814,586,610,416,430,33,46,318,297,265,856.725,14,"20142015",49.54,55.96,57.01,-15,112.97,49,41.04,42.72,-24,83.76,49.17,29.13,30.11,-14,41.77,2.31,3.22,-13,54.55,97.24,53.64,70.99,52.07,7.93,5.63,89.3,170,180,213,204
"28","VAN",479,533,72,70,310,357,855,872,669,648,492,474,47,44,330,341,341,972.233333333333,16,"20142015",49.51,52.77,53.81,-17,106.58,50.8,41.29,39.99,21,81.28,50.93,30.36,29.25,18,51.65,2.9,2.72,3,49.18,100.27,47.33,73.54,57.54,9.55,7.03,90.72,177,174,186,224
"17","N.J",405,426,65,55,247,269,664,685,495,548,373,432,37,44,267,284,280,856.175,14,"20142015",49.22,46.53,48,-21,94.54,47.46,34.69,38.4,-53,73.09,46.34,26.14,30.27,-59,45.68,2.59,3.08,-7,48.81,99.73,48.74,75.35,56.17,9.92,7.47,89.81,122,116,169,137
"10","DAL",461,470,60,60,258,284,800,833,599,617,413,435,39,49,329,311,291,856.441666666667,14,"20142015",48.99,56.05,58.36,-33,114.4,49.26,41.96,43.23,-18,85.19,48.7,28.93,30.47,-22,44.32,2.73,3.43,-10,53.06,98.18,49.52,68.95,51.62,9.44,6.51,88.74,186,182,201,216
"22","PHI",438,433,57,59,350,396,817,861,594,637,441,465,45,41,293,256,322,855.233333333333,14,"20142015",48.69,57.32,60.4,-44,117.72,48.25,41.67,44.69,-43,86.36,48.68,30.94,32.62,-24,52.33,3.16,2.88,4,47.64,101.39,50.29,74.24,53.98,10.2,7.58,91.18,153,172,223,224
"21","OTT",433,451,71,72,412,364,788,841,589,666,430,492,37,32,294,275,315,858.258333333333,14,"20142015",48.37,55.09,58.79,-53,113.88,46.93,41.18,46.56,-77,87.74,46.64,30.06,34.4,-62,53.62,2.59,2.24,5,48.28,102.1,48.98,73.01,54.57,8.6,6.28,93.5,159,174,199,175
"16","MTL",529,437,77,58,298,336,846,912,586,649,423,474,33,42,299,309,357,923.066666666667,15,"20142015",48.12,54.99,59.28,-66,114.27,47.45,38.09,42.19,-63,80.28,47.16,27.5,30.81,-51,44,2.15,2.73,-9,45.58,98.94,54.76,72.18,50,7.8,5.63,91.14,163,175,260,263
"27","TOR",494,475,63,64,469,433,830,923,633,692,463,500,47,41,292,315,362,910.075,15,"20142015",47.35,54.72,60.85,-93,115.57,47.77,41.73,45.62,-59,87.36,48.08,30.52,32.96,-37,53.41,3.1,2.7,6,44.65,101.95,50.98,73.14,55.78,10.15,7.42,91.8,170,192,197,231
"7","CGY",472,558,63,71,328,292,795,979,579,680,431,480,48,40,307,355,368,981.625,16,"20142015",44.81,48.59,59.84,-184,108.43,45.99,35.39,41.56,-101,76.95,47.31,26.34,29.34,-49,54.55,2.93,2.44,8,45.48,102.8,45.83,74.44,54.21,11.14,8.29,91.67,148,200,216,299
"9","COL",504,536,80,77,427,330,806,1041,614,762,467,562,39,48,354,321,365,982.233333333333,16,"20142015",43.64,49.23,63.59,-235,112.82,44.62,37.51,46.55,-148,84.05,45.38,28.53,34.33,-95,44.83,2.38,2.93,-9,49.24,99.81,48.46,76.06,57.94,8.35,6.35,91.46,147,200,192,279
"4","BUF",396,535,77,64,436,313,674,1125,495,845,356,598,18,52,267,284,380,975.766666666667,16,"20142015",37.47,41.44,69.18,-451,110.62,36.94,30.44,51.96,-350,82.4,37.32,21.89,36.77,-242,25.71,1.11,3.2,-34,41.27,96.36,42.53,71.92,52.82,5.06,3.64,91.3,139,247,179,280
