Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,15,10,3,2,22,.733,40,30,0.59,-0.08,4.67,11,59,18.64,8,49,83.67,2,1
2,Montreal Canadiens,,15,10,4,1,21,.700,37,42,-0.27,0.06,5.27,3,39,7.69,9,61,85.25,1,0
3,Pittsburgh Penguins,,13,10,2,1,21,.808,55,27,2.05,-0.10,6.31,21,56,37.50,6,52,88.46,2,2
4,Tampa Bay Lightning,,14,10,3,1,21,.750,54,38,1.00,-0.14,6.57,13,48,27.08,9,42,78.57,1,1
5,Nashville Predators,,14,9,3,2,20,.714,35,28,0.75,0.25,4.50,6,41,14.63,11,39,71.79,0,1
6,Vancouver Canucks,,15,10,5,0,20,.667,47,43,0.09,-0.18,6.00,11,53,20.75,7,57,87.72,1,1
7,Calgary Flames,,16,9,5,2,20,.625,49,41,0.51,0.01,5.63,11,53,20.75,10,44,77.27,1,1
8,Los Angeles Kings,,15,8,4,3,19,.633,37,30,0.30,-0.17,4.47,6,49,12.24,10,58,82.76,4,0
9,St. Louis Blues,,14,9,4,1,19,.679,35,28,0.54,0.04,4.50,12,49,24.49,10,49,79.59,0,0
10,Detroit Red Wings,,14,7,3,4,18,.643,37,33,0.40,0.11,5.00,9,55,16.36,5,48,89.58,0,1
11,San Jose Sharks,,15,8,5,2,18,.600,48,41,0.30,-0.16,5.93,13,49,26.53,9,48,81.25,0,3
12,Boston Bruins,,15,9,6,0,18,.600,43,35,0.27,-0.26,5.20,9,41,21.95,9,47,80.85,2,0
13,New York Islanders,,14,9,5,0,18,.643,42,42,-0.06,-0.06,6.00,12,55,21.82,13,45,71.11,1,0
14,Winnipeg Jets,,15,8,5,2,18,.600,30,32,0.10,0.24,4.13,6,49,12.24,7,58,87.93,1,1
15,Ottawa Senators,,13,7,3,3,17,.654,35,29,0.54,0.07,4.92,11,51,21.57,8,50,84.00,1,1
16,Toronto Maple Leafs,,14,7,5,2,16,.571,42,39,0.06,-0.15,5.79,11,51,21.57,8,51,84.31,2,1
17,Philadelphia Flyers,,14,7,5,2,16,.571,45,43,0.22,0.08,6.29,11,49,22.45,9,45,80.00,0,1
18,Chicago Blackhawks,,14,7,6,1,15,.536,36,26,0.87,0.16,4.43,11,56,19.64,3,42,92.86,2,3
19,Washington Capitals,,14,6,5,3,15,.536,45,42,0.14,-0.08,6.21,13,45,28.89,11,48,77.08,0,0
20,New Jersey Devils,,14,6,6,2,14,.500,38,45,-0.29,0.21,5.93,10,47,21.28,20,58,65.52,1,0
21,Minnesota Wild,,13,7,6,0,14,.538,37,29,0.79,0.17,5.08,2,40,5.00,5,37,86.49,2,1
22,New York Rangers,,13,6,5,2,14,.538,38,43,-0.42,-0.03,6.23,5,37,13.51,10,46,78.26,0,3
23,Arizona Coyotes,,14,6,7,1,13,.464,34,47,-0.95,-0.02,5.79,11,55,20.00,12,47,74.47,0,1
24,Colorado Avalanche,,16,4,7,5,13,.406,40,50,-0.43,0.20,5.63,8,59,13.56,8,65,87.69,2,0
25,Dallas Stars,,14,4,6,4,12,.429,40,50,-0.31,0.41,6.43,9,52,17.31,12,50,76.00,0,2
26,Florida Panthers,,12,4,4,4,12,.500,20,30,-0.97,-0.14,4.17,6,42,14.29,12,52,76.92,0,1
27,Carolina Hurricanes,,13,4,6,3,11,.423,31,43,-1.37,-0.45,5.69,9,47,19.15,9,45,80.00,1,0
28,Edmonton Oilers,,14,5,8,1,11,.393,35,50,-1.15,-0.08,6.07,6,45,13.33,8,37,78.38,1,2
29,Columbus Blue Jackets,,14,4,9,1,9,.321,36,51,-1.21,-0.13,6.21,13,58,22.41,12,52,76.92,1,1
30,Buffalo Sabres,,16,3,11,2,8,.250,20,54,-1.95,0.17,4.63,2,50,4.00,11,58,81.03,1,1
